tradeline_id,report_id,creditor_name,account_reference,account_type,account_status_raw,section_group,date_opened,date_reported,last_activity_date,high_credit,credit_limit,balance,past_due_amount,late_30_count,late_60_count,late_90_count,bureau_source,credit_utilization_ratio,account_age_months,is_derogatory_flag
16,2,TD Bank,ACCT0000016,Revolving,AS AGREED,OPEN,2013-10-22,2020-12-18,2020-12-05,7500,7500,289,0,0,0,0,XP/TU,0.0385,87,0
17,2,Fifth Third,ACCT0000017,Revolving,AS AGREED,OPEN,2014-10-27,2021-01-10,2020-08-24,500,500,82,0,0,0,0,XP/EF,0.164,75,0
18,2,Fifth Third,ACCT0000018,Auto,AS AGREED,OPEN,2012-04-15,2021-01-09,2020-12-19,34127,0,22870,0,0,0,0,XP/EF,,105,0
19,2,TD Bank,ACCT0000019,Mortgage,AS AGREED,OPEN,2020-05-26,2021-01-15,2020-12-28,386585,386585,308281,0,0,0,0,EF,0.7974,8,0
20,2,Chase,ACCT0000020,Revolving,AS AGREED,OPEN,2019-02-14,2020-12-25,2020-08-14,7500,7500,2044,0,0,0,0,EF,0.2725,23,0
21,2,Discover,ACCT0000021,Other,AS AGREED,OPEN,2012-11-14,2021-01-13,2021-01-07,1500,1500,639,0,0,0,0,EF,0.426,98,0
22,2,Discover,ACCT0000022,Installment,AS AGREED,OPEN,2013-03-28,2020-12-23,2020-08-01,10578,0,4384,0,0,0,0,XP/TU/EF,,94,0
23,2,Truist,ACCT0000023,Installment,AS AGREED,OPEN,2020-06-17,2020-12-16,2020-06-27,58552,0,42001,0,0,0,0,XP/EF,,7,0
24,2,Citi,ACCT0000024,Other,AS AGREED,OPEN,2012-05-17,2020-12-18,2020-06-16,3000,3000,2637,0,0,0,0,XP/TU/EF,0.879,104,0
25,3,Truist,ACCT0000025,Revolving,CUR WAS 30,DEROGATORY,2022-03-17,2023-01-31,2022-12-04,500,500,147,22,1,0,0,XP,0.294,11,1
26,3,Midland Credit,ACCT0000026,Installment,AS AGREED,OPEN,2012-12-21,2023-01-22,2022-11-11,49183,0,31424,0,0,0,0,EF,,122,0
27,3,Santander,ACCT0000027,Revolving,AS AGREED,OPEN,2019-04-29,2023-01-16,2022-08-01,15000,15000,8549,0,0,0,0,TU/EF,0.5699,46,0
28,3,Capital One,ACCT0000028,Auto,AS AGREED,OPEN,2017-08-10,2023-01-19,2022-11-17,52209,0,30135,0,2,0,0,XP/EF,,66,0
29,3,Pennymac,ACCT0000029,Auto,PAID,CLOSED,2009-04-06,2023-02-13,2022-09-23,27152,0,0,0,2,0,0,XP/EF,,166,0
30,3,Cavalry Portfolio,ACCT0000030,Mortgage,AS AGREED,OPEN,2021-03-04,2023-01-19,2022-12-18,100179,100179,54859,0,0,0,0,TU,0.5476,23,0
31,3,Barclays,ACCT0000031,Other,AS AGREED,OPEN,2020-04-03,2023-02-08,2022-09-04,300,300,62,0,0,0,0,XP/TU,0.2067,34,0
32,3,HSBC,ACCT0000032,Auto,PAID,CLOSED,2022-07-03,2023-01-17,2022-12-31,32847,0,0,0,0,0,0,XP,,7,0
33,3,Toyota Motor Credit,ACCT0000033,Revolving,AS AGREED,OPEN,2022-02-26,2023-02-07,2022-11-08,15000,15000,9861,0,0,0,0,TU/EF,0.6574,12,0
34,4,Portfolio Recovery,ACCT0000034,Auto,COLLECTION,DEROGATORY,2018-02-22,2023-08-22,2023-05-27,17227,0,4834,4834,3,2,2,XP/EF,,66,1
35,4,GTE Southwest,ACCT0000035,Revolving,AS AGREED,OPEN,2012-09-18,2023-07-30,2023-05-20,1500,1500,837,0,0,0,0,XP/TU/EF,0.558,131,0
36,4,Barclays,ACCT0000036,Mortgage,AS AGREED,OPEN,2009-08-20,2023-07-17,2023-04-02,310797,310797,145029,0,0,0,0,TU/EF,0.4666,168,0
37,4,SoFi,ACCT0000037,Installment,AS AGREED,OPEN,2014-10-21,2023-07-15,2023-02-28,42567,0,25190,-255,0,0,0,TU/EF,,106,0
38,4,Verizon,ACCT0000038,Other,AS AGREED,OPEN,2012-04-06,2023-08-16,2023-06-08,500,500,211,0,0,0,0,XP,0.422,136,0
39,4,Ford Motor Credit,ACCT0000039,Other,AS AGREED,OPEN,2013-02-22,2023-07-28,2023-02-18,3000,3000,1577,0,0,0,0,XP/EF,0.5257,126,0
40,4,Discover,ACCT0000040,Other,AS AGREED,OPEN,2017-11-17,2023-07-09,2023-02-01,7500,7500,6192,0,0,0,0,EF,0.8256,69,0
41,4,Ally Financial,ACCT0000041,Mortgage,AS AGREED,OPEN,2016-08-19,2023-07-16,2023-05-11,264393,264393,36606,0,1,0,0,TU/EF,0.1385,84,0
42,5,Citi,ACCT0000042,Auto,CHARGE OFF,DEROGATORY,2017-02-07,2023-08-10,2023-02-13,30001,0,19904,19904,2,4,1,XP/TU,,78,1
43,5,Navy Federal,ACCT0000043,Installment,AS AGREED,OPEN,2022-05-15,2023-07-22,2023-01-11,55547,0,22663,0,0,0,0,TU,,15,0
44,5,Navy Federal,ACCT0000044,Revolving,AS AGREED,OPEN,2020-07-18,2023-07-19,2023-05-14,2000,2000,985,0,0,0,0,TU/EF,0.4925,37,0
45,5,Sallie Mae,ACCT0000045,Mortgage,PAID,CLOSED,2020-11-23,2023-07-19,2023-05-16,193809,193809,0,0,0,0,0,XP/TU,0.0,33,0
46,5,AT&T,ACCT0000046,Other,AS AGREED,OPEN,2022-10-04,2023-07-29,2023-04-10,5000,5000,1774,-454,0,0,0,TU,0.3548,10,0
47,6,Verizon,ACCT0000047,Auto,CUR WAS 30,DEROGATORY,2017-03-03,2023-11-03,2023-04-24,34038,0,17674,3912,1,0,0,XP/TU/EF,,81,1
48,6,LVNV Funding,ACCT0000048,Installment,AS AGREED,OPEN,2013-04-25,2023-11-02,2023-05-31,6893,0,1993,0,0,0,0,EF,,128,0
49,6,Toyota Motor Credit,ACCT0000049,Installment,AS AGREED,OPEN,2023-03-18,2023-11-23,2023-05-10,32442,0,10562,0,2,0,0,XP/EF,,9,0
50,6,Ally Financial,ACCT0000050,Revolving,CLOSED,CLOSED,2009-03-17,2023-10-21,2023-05-02,3000,3000,0,0,0,0,0,TU,0.0,177,0
51,6,Bank of America,ACCT0000051,Auto,AS AGREED,OPEN,2018-08-09,2023-11-04,2023-05-11,48033,0,19835,0,0,0,0,XP/EF,,64,0
52,6,Navient,ACCT0000052,Revolving,PAID,CLOSED,2010-10-10,2023-11-23,2023-09-13,500,500,0,0,0,0,0,XP/TU/EF,0.0,158,0
53,6,Fifth Third,ACCT0000053,Other,PAID,CLOSED,2020-08-06,2023-10-25,2023-07-18,300,300,0,-292,0,0,0,XP/EF,0.0,40,0
54,6,Midland Credit,ACCT0000054,Other,AS AGREED,OPEN,2017-11-19,2023-11-04,2023-05-06,5000,5000,998,0,0,0,0,TU,0.1996,73,0
55,6,Quicken Loans,ACCT0000055,Auto,AS AGREED,OPEN,2009-04-22,2023-11-17,2023-07-26,13841,0,5794,0,0,0,0,TU,,176,0
56,6,Fifth Third,ACCT0000056,Revolving,AS AGREED,OPEN,2012-04-21,2023-11-27,2023-10-16,300,300,185,0,0,0,0,XP/TU,0.6167,140,0
57,7,LendingClub,ACCT0000057,Other,AS AGREED,OPEN,2010-01-29,2022-11-21,2022-07-03,2000,2000,1191,0,0,0,0,EF,0.5955,155,0
58,7,Navient,ACCT0000058,Installment,AS AGREED,OPEN,2015-12-13,2022-12-12,2022-11-11,49023,0,33625,0,0,0,0,XP/EF,,84,0
59,7,SoFi,ACCT0000059,Mortgage,AS AGREED,OPEN,2015-01-08,2022-12-17,2022-12-09,454324,454324,135607,0,0,0,0,TU/EF,0.2985,95,0
60,7,Rocket Mortgage,ACCT0000060,Mortgage,CLOSED,CLOSED,2012-04-08,2022-12-08,2022-11-19,158407,158407,0,0,0,0,0,TU,0.0,128,0
61,7,Discover,ACCT0000061,Mortgage,AS AGREED,OPEN,2021-01-19,2022-11-11,2022-04-30,486127,486127,234885,0,0,0,0,XP/EF,0.4832,23,0
62,7,TD Bank,ACCT0000062,Auto,AS AGREED,OPEN,2018-11-01,2022-11-25,2022-05-14,18518,0,6090,0,0,0,0,TU/EF,,49,0
63,7,Capital One,ACCT0000063,Auto,AS AGREED,OPEN,2012-10-22,2022-12-19,2022-10-31,61859,0,32187,0,0,0,0,TU/EF,,122,0
64,7,LVNV Funding,ACCT0000064,Auto,AS AGREED,OPEN,2016-12-06,2022-11-05,2022-11-02,47929,0,34745,0,0,0,0,XP,,72,0
65,7,Toyota Motor Credit,ACCT0000065,Installment,AS AGREED,OPEN,2009-12-08,2022-12-04,2022-09-11,51842,0,6526,0,0,0,0,XP/EF,,156,0
66,7,AT&T,ACCT0000066,Mortgage,AS AGREED,OPEN,2021-03-26,2022-11-18,2022-10-12,239861,239861,66911,0,0,0,0,XP/TU/EF,0.279,21,0
67,7,Capital One,ACCT0000067,Revolving,AS AGREED,OPEN,2009-10-20,2022-11-06,2022-05-28,500,500,69,0,0,0,0,EF,0.138,158,0
68,8,Citi,ACCT0000068,Mortgage,AS AGREED,OPEN,2012-11-12,2023-04-14,2023-02-08,233375,233375,197271,0,0,0,0,EF,0.8453,126,0
69,8,Truist,ACCT0000069,Other,AS AGREED,OPEN,2013-09-19,2023-03-28,2022-12-26,500,500,291,0,0,0,0,XP/TU,0.582,116,0
70,8,Regions Bank,ACCT0000070,Revolving,AS AGREED,OPEN,2009-05-08,2023-03-21,2022-09-27,15000,15000,1125,0,0,0,0,XP/EF,0.075,168,0
71,8,Fifth Third,ACCT0000071,Auto,AS AGREED,OPEN,2020-04-08,2023-03-30,2022-10-12,21741,0,14644,0,0,0,0,XP/TU/EF,,37,0
72,8,Citi,ACCT0000072,Auto,CLOSED,CLOSED,2022-02-25,2023-03-29,2022-11-18,55882,0,0,0,0,0,0,XP/TU/EF,,15,0
73,8,Rocket Mortgage,ACCT0000073,Mortgage,CLOSED,CLOSED,2016-01-21,2023-04-01,2022-11-04,468615,468615,0,0,0,0,0,XP/TU,0.0,88,0
74,8,LVNV Funding,ACCT0000074,Installment,AS AGREED,OPEN,2014-09-11,2023-04-07,2023-02-07,7387,0,5704,0,0,0,0,XP/EF,,104,0
75,8,TD Bank,ACCT0000075,Mortgage,AS AGREED,OPEN,2012-12-04,2023-04-14,2023-03-12,574249,574249,306799,0,0,0,0,TU,0.5343,125,0
76,8,Truist,ACCT0000076,Other,CLOSED,CLOSED,2014-04-13,2023-04-16,2022-11-22,500,500,0,0,0,0,0,XP,0.0,109,0
77,8,Citi,ACCT0000077,Auto,AS AGREED,OPEN,2009-09-04,2023-04-06,2023-02-25,62774,0,54428,0,0,0,0,XP/EF,,164,0
78,8,Ally Financial,ACCT0000078,Other,CLOSED,CLOSED,2021-06-30,2023-04-18,2023-03-07,750,750,0,0,0,0,0,XP/TU/EF,0.0,23,0
79,9,KeyBank,ACCT0000079,Installment,CUR WAS 90,DEROGATORY,2009-01-18,2022-03-15,2022-02-27,50328,0,20183,1283,4,2,1,XP,,158,1
80,9,GTE Southwest,ACCT0000080,Other,CHARGE OFF,DEROGATORY,2019-10-15,2022-01-30,2021-10-24,500,500,405,405,4,2,3,XP/TU,0.81,29,1
81,9,Truist,ACCT0000081,Revolving,COLLECTION,DEROGATORY,2014-04-12,2022-02-09,2021-11-27,2000,2000,1397,1397,1,0,1,EF,0.6985,95,1
82,9,Chase,ACCT0000082,Installment,AS AGREED,OPEN,2013-05-17,2022-02-24,2021-12-07,31782,0,23804,0,0,0,0,XP/TU/EF,,106,0
83,9,Portfolio Recovery,ACCT0000083,Installment,PAID,CLOSED,2009-05-19,2022-02-15,2021-08-07,31494,0,0,0,0,0,0,XP/TU/EF,,154,0
84,9,Chase,ACCT0000084,Other,CHARGE OFF,DEROGATORY,2017-07-04,2022-02-16,2022-01-28,2000,2000,1453,1453,7,4,4,EF,0.7265,56,1
85,9,Santander,ACCT0000085,Auto,COLLECTION,DEROGATORY,2017-04-27,2022-02-25,2022-02-03,51462,0,48412,48412,1,3,2,EF,,59,1
86,9,GEMB/JCP,ACCT0000086,Other,PAID,CLOSED,2015-01-12,2022-02-05,2021-10-08,300,300,0,0,0,0,0,XP/TU/EF,0.0,86,0
87,10,Chase,ACCT0000087,Auto,COLLECTION,DEROGATORY,2021-04-19,2022-06-22,2022-04-08,41304,0,21252,21252,5,3,0,XP/TU,,15,1
88,10,Jefferson Capital,ACCT0000088,Other,CUR WAS 90,DEROGATORY,2014-04-02,2022-05-31,2022-02-10,7500,7500,3792,1078,1,2,2,XP,0.5056,99,1
89,10,Discover,ACCT0000089,Other,CHARGE OFF,DEROGATORY,2018-08-14,2022-06-23,2022-03-23,5000,5000,4135,4135,5,1,2,,0.827,47,1
90,10,Chase,ACCT0000090,Installment,CUR WAS 90,DEROGATORY,2018-09-06,2022-05-21,2021-11-07,28495,0,15680,2208,2,2,1,XP,,46,1
91,10,Navy Federal,ACCT0000091,Other,CUR WAS 90,DEROGATORY,2017-04-08,2022-06-26,2022-06-08,5000,5000,1725,322,1,2,2,TU/EF,0.345,63,1
92,10,Truist,ACCT0000092,Auto,PAID,CLOSED,2015-08-29,2022-06-10,2022-01-07,17116,0,0,0,0,0,0,TU/EF,,83,0
93,10,KeyBank,ACCT0000093,Installment,AS AGREED,OPEN,2015-04-16,2022-06-29,2022-01-25,51712,0,22747,0,0,0,0,TU,,87,0
94,10,Truist,ACCT0000094,Auto,CUR WAS 30,DEROGATORY,2016-07-01,2022-06-02,2022-01-03,9879,0,6543,850,3,0,0,TU,,72,1
95,10,Synchrony,ACCT0000095,Mortgage,AS AGREED,OPEN,2015-08-03,2022-06-11,2022-02-07,536962,536962,537603,0,0,0,0,TU,0.708,83,0
96,10,Portfolio Recovery,ACCT0000096,Installment,AS AGREED,OPEN,2017-03-27,2022-06-03,2022-06-03,51550,0,7156,0,0,0,0,TU/EF,,64,0
97,10,Santander,ACCT0000097,Auto,COLLECTION,DEROGATORY,2015-03-04,2022-07-01,2022-03-06,16251,0,7230,7230,4,1,2,TU,,88,1
98,11,Pennymac,ACCT0000098,Mortgage,CUR WAS 90,DEROGATORY,2009-02-11,2022-09-13,2022-08-22,354528,354528,215737,57196,2,1,2,TU,0.6085,163,1
99,11,Jefferson Capital,ACCT0000099,Revolving,CHARGE OFF,DEROGATORY,2017-09-26,2022-08-13,2022-01-28,2000,2000,1522,1522,2,3,1,XP,0.761,60,1
100,11,Rocket Mortgage,ACCT0000100,Revolving,CHARGE OFF,DEROGATORY,2022-09-10,2022-09-05,2022-05-10,500,500,318,318,5,1,1,TU/EF,0.636,0,1
101,11,Navient,ACCT0000101,Revolving,CHARGE OFF,DEROGATORY,2021-10-10,2022-09-08,2022-07-19,300,300,302,302,6,3,1,XP,1.0067,11,1
102,11,Fifth Third,ACCT0000102,Revolving,AS AGREED,OPEN,2020-04-23,2022-08-11,2022-05-24,7500,7500,5811,0,0,0,0,XP/EF,0.7748,29,0
103,11,Discover,ACCT0000103,Other,CUR WAS 30,DEROGATORY,2021-11-08,2022-09-03,2022-05-21,2000,2000,635,177,4,0,0,XP/TU,0.3175,10,1
104,11,Capital One,ACCT0000104,Other,AS AGREED,OPEN,2020-07-18,2022-09-07,2022-05-09,1000,1000,164,0,0,0,0,XP/TU/EF,0.164,26,0
105,11,Jefferson Capital,ACCT0000105,Revolving,CUR WAS 90,DEROGATORY,2014-10-14,2022-08-26,2022-08-15,750,750,761,86,1,2,2,XP/TU/EF,1.0147,95,1
106,11,Cavalry Portfolio,ACCT0000106,Auto,AS AGREED,OPEN,2014-09-29,2022-08-14,2022-01-31,62757,0,51231,0,0,0,0,XP/TU,,96,0
107,11,Truist,ACCT0000107,Mortgage,COLLECTION,DEROGATORY,2021-03-29,2022-08-20,2022-08-11,490768,490768,324790,324790,2,2,1,XP/EF,0.6618,18,1
108,12,Rocket Mortgage,ACCT0000108,Installment,CUR WAS 30,DEROGATORY,2016-02-18,2023-04-08,2023-01-01,57284,0,23864,5060,2,0,0,EF,,86,1
109,12,TD Bank,ACCT0000109,Auto,CUR WAS 30,DEROGATORY,2015-03-17,2023-03-08,2023-02-24,30786,0,13860,2158,3,0,0,EF,,97,1
110,12,AT&T,ACCT0000110,Installment,CHARGE OFF,DEROGATORY,2021-08-30,2023-04-11,2022-10-07,59044,0,49924,49924,6,3,3,XP,,20,1
111,12,Bank of America,ACCT0000111,Revolving,CHARGE OFF,DEROGATORY,2023-01-22,2023-03-15,2023-02-17,1000,1000,1147,1147,5,5,4,XP,1.147,3,1
112,12,Bank of America,ACCT0000112,Installment,PAID,CLOSED,2016-05-15,2023-04-04,2022-10-06,34175,0,0,0,0,0,0,TU/EF,,83,0
113,12,Chase,ACCT0000113,Auto,AS AGREED,OPEN,2022-12-06,2023-03-30,2023-01-30,25652,0,16543,0,0,0,0,XP,,4,0
114,12,Pennymac,ACCT0000114,Revolving,AS AGREED,OPEN,2023-01-22,2023-04-14,2023-02-27,5000,5000,5725,0,0,0,0,XP,1.145,3,0
115,12,Portfolio Recovery,ACCT0000115,Revolving,COLLECTION,DEROGATORY,2010-10-09,2023-04-02,2023-03-05,2000,2000,1769,1769,3,2,1,TU/EF,0.8845,150,1
116,12,Bank of America,ACCT0000116,Revolving,CUR WAS 60,DEROGATORY,2018-10-29,2023-04-04,2023-03-24,5000,5000,5186,1361,1,2,0,XP/EF,1.0372,54,1
117,13,Fifth Third,ACCT0000117,Revolving,AS AGREED,OPEN,2010-01-30,2021-12-28,2021-09-19,1500,1500,328,0,0,0,0,XP,0.2187,143,0
118,13,GTE Southwest,ACCT0000118,Revolving,AS AGREED,OPEN,2009-01-25,2021-12-11,2021-09-13,750,750,110,0,0,0,0,TU/EF,0.1467,155,0
119,13,Ally Financial,ACCT0000119,Revolving,AS AGREED,OPEN,2010-08-13,2021-11-24,2021-09-09,15000,15000,2798,0,0,0,0,XP/EF,0.1865,136,0
120,13,Jefferson Capital,ACCT0000120,Other,AS AGREED,OPEN,2017-01-21,2021-12-06,2021-05-26,1000,1000,635,0,0,0,0,EF,0.635,59,0
121,13,Cavalry Portfolio,ACCT0000121,Auto,AS AGREED,OPEN,2010-08-02,2021-12-26,2021-12-11,31709,0,17253,-59,0,0,0,XP/EF,,136,0
122,13,Ford Motor Credit,ACCT0000122,Other,AS AGREED,OPEN,2018-08-12,2021-11-23,2021-11-08,500,500,329,0,0,0,0,XP/TU,0.658,40,0
123,13,PNC Bank,ACCT0000123,Auto,CLOSED,CLOSED,2020-03-27,2021-12-11,2021-06-17,49578,0,0,0,0,0,0,TU,,21,0
124,13,LVNV Funding,ACCT0000124,Mortgage,AS AGREED,OPEN,2015-11-18,2021-11-21,2021-05-27,296591,296591,34404,0,0,0,0,XP/TU,0.116,73,0
125,14,LVNV Funding,ACCT0000125,Mortgage,AS AGREED,OPEN,2016-05-11,2022-05-05,2022-03-11,184242,184242,137478,0,0,0,0,XP,0.7462,72,0
126,14,Citi,ACCT0000126,Mortgage,AS AGREED,OPEN,2014-09-21,2022-04-27,2022-01-17,196282,196282,89959,0,0,0,0,EF,0.4583,92,0
127,14,Capital One,ACCT0000127,Installment,AS AGREED,OPEN,2021-11-05,2022-03-22,2021-09-04,14794,0,4033,0,0,0,0,EF,,6,0
128,14,Regions Bank,ACCT0000128,Revolving,AS AGREED,OPEN,2009-09-19,2022-03-30,2022-03-20,15000,15000,1592,0,0,0,0,XP,0.1061,152,0
129,14,Cavalry Portfolio,ACCT0000129,Other,PAID,CLOSED,2018-04-15,2022-04-03,2022-01-29,1000,1000,0,0,0,0,0,XP,0.0,49,0
130,14,PNC Bank,ACCT0000130,Auto,AS AGREED,OPEN,2013-12-07,2022-04-27,2021-11-21,5425,0,3412,0,0,0,0,XP/TU,,101,0
131,14,Quicken Loans,ACCT0000131,Other,AS AGREED,OPEN,2021-03-07,2022-04-07,2022-01-15,10000,10000,1684,0,0,0,0,XP/EF,0.1684,14,0
132,15,Synchrony,ACCT0000132,Installment,AS AGREED,OPEN,2017-11-12,2022-08-23,2022-06-25,60257,0,37564,0,0,0,0,TU,,57,0
133,15,Bank of America,ACCT0000133,Auto,PAID,CLOSED,2017-04-20,2022-08-03,2022-03-23,17224,0,0,0,0,0,0,XP/TU,,64,0
134,15,Toyota Motor Credit,ACCT0000134,Other,PAID,CLOSED,2011-10-30,2022-08-25,2022-05-04,500,500,0,0,0,0,0,EF,0.0,130,0
135,15,TD Bank,ACCT0000135,Other,AS AGREED,OPEN,2009-02-20,2022-08-14,2022-06-27,3000,3000,693,0,0,0,0,TU/EF,0.231,162,0
136,15,USAA,ACCT0000136,Revolving,AS AGREED,OPEN,2016-11-28,2022-07-23,2022-06-22,7500,7500,816,0,0,0,0,XP,0.1088,69,0
137,15,Verizon,ACCT0000137,Other,AS AGREED,OPEN,2018-10-17,2022-08-12,2022-03-28,2000,2000,1058,0,0,0,0,TU/EF,0.529,46,0
138,15,Citi,ACCT0000138,Other,AS AGREED,OPEN,2019-05-28,2022-07-12,2022-03-14,750,750,130,0,0,0,0,XP/EF,0.1733,39,0
139,15,LVNV Funding,ACCT0000139,Mortgage,AS AGREED,OPEN,2014-04-21,2022-07-26,2022-03-12,501388,501388,286303,0,0,0,0,TU,0.571,100,0
140,15,AT&T,ACCT0000140,Other,AS AGREED,OPEN,2012-06-20,2022-07-24,2022-02-26,5000,5000,3634,0,0,0,0,EF,0.7268,122,0
141,16,HSBC,ACCT0000141,Revolving,CLOSED,CLOSED,2020-02-06,2020-04-28,2020-03-16,5000,5000,0,0,0,0,0,XP,0.0,3,0
142,16,Synchrony,ACCT0000142,Other,AS AGREED,OPEN,2015-08-10,2020-04-02,2020-03-01,15000,15000,12958,0,0,0,0,TU,0.8639,57,0
143,16,USAA,ACCT0000143,Revolving,AS AGREED,OPEN,2014-08-27,2020-05-01,2020-02-20,1500,1500,68,0,0,0,0,TU/EF,0.0453,69,0
144,16,HSBC,ACCT0000144,Revolving,AS AGREED,OPEN,2018-06-15,2020-04-13,2019-11-18,10000,10000,2086,-68,0,0,0,TU/EF,0.2086,23,0
145,16,American Express,ACCT0000145,Revolving,AS AGREED,OPEN,2015-03-20,2020-03-22,2019-09-26,750,750,108,0,0,0,0,XP/TU/EF,0.144,62,0
146,17,Citi,ACCT0000146,Mortgage,CLOSED,CLOSED,2013-05-08,2020-09-03,2020-02-18,498094,498094,0,0,0,0,0,XP,0.0,88,0
147,17,KeyBank,ACCT0000147,Auto,AS AGREED,OPEN,2014-09-08,2020-08-11,2020-06-22,5189,0,3857,0,0,0,0,EF,,72,0
148,17,Navy Federal,ACCT0000148,Installment,AS AGREED,OPEN,2018-11-14,2020-08-07,2020-04-12,28321,0,15745,0,0,0,0,XP/EF,,22,0
149,17,Capital One,ACCT0000149,Revolving,PAID,CLOSED,2009-07-07,2020-07-26,2020-06-15,10000,10000,0,0,0,0,0,TU/EF,0.0,134,0
150,17,HSBC,ACCT0000150,Auto,AS AGREED,OPEN,2015-09-12,2020-08-12,2020-03-10,7678,0,1720,0,0,0,0,TU/EF,,60,0
151,17,GEMB/JCP,ACCT0000151,Revolving,AS AGREED,OPEN,2009-08-27,2020-08-20,2020-06-18,7500,7500,403,0,0,0,0,XP/EF,0.0537,133,0
152,17,Jefferson Capital,ACCT0000152,Revolving,PAID,CLOSED,2018-06-01,2020-08-05,2020-08-02,7500,7500,0,0,0,0,0,XP/TU,0.0,27,0
153,17,Synchrony,ACCT0000153,Auto,AS AGREED,OPEN,2017-10-27,2020-08-07,2020-01-28,62475,0,24919,0,0,0,0,TU/EF,,35,0
154,18,Navient,ACCT0000154,Other,PAID,CLOSED,2020-06-27,2021-05-20,2021-02-17,2000,2000,0,0,0,0,0,XP/EF,0.0,12,0
155,18,Toyota Motor Credit,ACCT0000155,Mortgage,AS AGREED,OPEN,2009-10-24,2021-05-17,2021-01-27,305267,305267,193597,0,0,0,0,XP/EF,0.6342,140,0
156,18,TD Bank,ACCT0000156,Other,AS AGREED,OPEN,2018-05-08,2021-05-23,2021-05-21,1500,1500,591,0,0,0,0,XP/TU,0.394,37,0
157,18,Navy Federal,ACCT0000157,Auto,AS AGREED,OPEN,2012-01-09,2021-05-18,2021-04-18,10797,0,2316,0,0,0,0,TU,,113,0
158,18,Wells Fargo,ACCT0000158,Mortgage,AS AGREED,OPEN,2021-06-11,2021-05-01,2021-02-08,239751,239751,42939,0,0,0,0,XP/EF,0.1791,0,0
159,18,Synchrony,ACCT0000159,Other,PAID,CLOSED,2020-01-22,2021-05-07,2020-11-13,10000,10000,0,0,0,0,0,XP/EF,0.0,17,0
160,19,Navy Federal,ACCT0000160,Installment,CUR WAS 90,DEROGATORY,2015-12-24,2020-01-16,2019-12-26,48123,0,26241,2894,4,2,1,EF,,51,1
161,19,Wells Fargo,ACCT0000161,Mortgage,CHARGE OFF,DEROGATORY,2019-05-04,2020-02-19,2019-11-18,449548,449548,302771,302771,3,2,2,EF,0.6735,10,1
