consumer_id,first_name,last_name,dob,state,zip_code,employment_status,annual_income
208,Carol,Green,1979-10-14,GA,34881,Part-Time,78711
209,Robert,Lopez,1986-09-15,VA,61543,Unemployed,35306
210,Anna,Stewart,1970-04-19,NC,47453,Self-Employed,44057
211,Timothy,Garcia,1961-07-05,NV,62505,Self-Employed,156475
212,Stephen,Edwards,1990-04-12,NV,82070,Retired,47715
213,Jeffrey,Mitchell,1994-11-20,NY,54444,Full-Time,46163
214,Barbara,Garcia,1978-03-07,MA,15100,Retired,68510
215,Karen,Adams,1976-08-17,MA,90356,Unemployed,11795
216,Brenda,Morgan,1980-10-24,MA,74205,Self-Employed,134320
217,Cynthia,Flores,1974-08-27,NY,92478,Full-Time,78138
218,Benjamin,Morris,1985-05-21,CA,32349,Retired,74970
219,Michael,Anderson,2001-10-25,PA,35006,Unemployed,11758
220,Stephen,Stewart,1975-07-05,TN,18163,Unemployed,29234
221,Pamela,Carter,1988-04-18,VA,51124,Self-Employed,201289
222,Raymond,Morris,1984-09-11,AZ,35200,Retired,53909
223,Steven,Clark,1972-09-10,NC,74094,Part-Time,77297
224,Emma,Carter,1977-09-26,MN,61712,Self-Employed,83657
225,Kevin,Cruz,1964-05-02,FL,95979,Self-Employed,194199
226,Kenneth,Moore,1985-04-07,MD,24316,Retired,46067
227,Paul,Robinson,1992-04-08,MA,16880,Full-Time,118355
228,James,Lee,1976-12-16,IL,63334,Full-Time,119871
229,Carol,Torres,1985-08-21,NC,94659,Part-Time,64919
230,Matthew,Turner,1960-11-19,CA,33040,Part-Time,50194
231,Michael,Johnson,1957-07-26,NC,49110,Unemployed,12999
232,Pamela,Murphy,1961-06-10,MD,27589,Unemployed,38849
233,George,White,1984-05-07,MO,11846,Full-Time,73113
234,Jacob,Rogers,1973-10-22,NV,52982,Part-Time,26205
235,James,King,1997-02-06,PA,60275,Part-Time,46346
236,Kimberly,Campbell,1972-06-10,TX,40972,Retired,88667
237,Michelle,Thomas,1962-08-10,MA,93717,Part-Time,41541
238,Shirley,Martin,1973-06-20,IL,69634,Part-Time,29115
239,Sandra,Young,1993-06-14,MD,99173,Retired,106576
240,Brandon,Anderson,1960-09-15,FL,18094,Retired,86865
241,Larry,Cruz,1987-04-19,WA,25235,Retired,34631
242,Patricia,Collins,2000-10-16,MO,27294,Full-Time,148911
243,Robert,Gomez,1984-10-02,NC,43352,Retired,64102
244,David,Cooper,2002-04-19,CO,17897,Full-Time,35041
245,Cynthia,Mitchell,1959-08-02,IL,60132,Self-Employed,103708
246,Sarah,Thompson,1979-07-03,CO,80419,Retired,33040
247,Angela,Cooper,1963-12-08,NC,65591,Full-Time,129874
248,Thomas,Jones,1969-04-15,OH,96533,Self-Employed,61688
249,Amy,Miller,1956-04-07,CA,42077,Full-Time,42459
250,Karen,Cook,1980-08-08,CA,47914,Retired,40988
251,Mark,Hill,2001-10-11,WA,28777,Retired,76883
252,Katherine,Thompson,1988-04-14,MD,92050,Self-Employed,81565
253,Pamela,Green,1990-08-02,NV,64568,Self-Employed,191926
254,Edward,Jackson,1974-07-06,PA,70689,Retired,65152
255,Dorothy,Allen,1990-07-14,NV,36651,Retired,70478
256,William,Wright,1960-08-28,OH,59436,Self-Employed,51312
257,Helen,Ramirez,1993-01-28,MN,72835,Full-Time,54100
258,Shirley,Young,1976-05-01,NY,89220,Part-Time,77008
259,Angela,Morgan,1980-04-18,NV,95029,Self-Employed,164425
260,Brian,Clark,1971-06-17,VA,58589,Unemployed,22005
261,Kimberly,Turner,1957-10-28,TX,48691,Part-Time,63941
262,Scott,Baker,1976-04-13,VA,43728,Retired,99086
263,Nancy,Moore,1986-12-21,CO,81636,Unemployed,21838
264,William,Smith,1989-11-02,FL,64053,Retired,23689
265,Nicholas,Mitchell,1995-04-03,MA,17923,Part-Time,15109
266,Scott,Evans,1997-10-16,MD,11553,Unemployed,7506
267,Matthew,Wilson,2001-05-18,TN,22624,Self-Employed,38838
268,Kenneth,Gomez,1970-04-20,CO,20357,Retired,44303
269,Edward,Hernandez,1980-08-19,PA,95686,Part-Time,80548
270,Eric,Davis,1996-01-03,MD,93459,Unemployed,19212
271,Brandon,Gonzalez,1965-02-16,WA,79226,Unemployed,27766
272,Jennifer,Scott,1969-04-28,CA,81176,Retired,65339
273,Katherine,Jackson,1957-03-28,OH,62205,Self-Employed,38592
274,Emma,Nelson,1974-03-19,NV,60311,Part-Time,52298
275,William,Gonzalez,1963-12-24,CO,67290,Full-Time,95805
276,Carol,Brown,1959-06-20,NV,93115,Retired,110543
277,Kathleen,White,1983-08-08,NV,99088,Self-Employed,127583
278,Jennifer,Hernandez,1979-02-25,PA,45123,Retired,48354
279,Susan,Smith,2000-11-05,NY,50405,Unemployed,17197
280,Helen,Rogers,1972-02-05,MO,63483,Full-Time,53998
281,Stephanie,Johnson,1960-06-18,WA,48253,Full-Time,108629
282,Jason,Perez,1960-12-18,GA,28198,Part-Time,52649
283,Cynthia,Hill,1972-08-05,AZ,73469,Full-Time,51305
284,Nicholas,Wilson,1978-05-08,OH,27758,Unemployed,26120
285,Gary,Nelson,1980-06-27,WA,66441,Retired,56323
286,Shirley,Green,1996-10-05,OH,33283,Self-Employed,89102
287,Carol,Carter,1975-05-24,PA,46739,Unemployed,38161
288,Betty,Brown,1980-06-04,MD,70505,Retired,39341
289,Ryan,Murphy,1968-08-26,FL,28242,Self-Employed,173660
290,Jennifer,Edwards,1970-05-22,NV,88372,Part-Time,62206
291,Justin,Hernandez,1980-09-17,CO,24335,Unemployed,24505
292,Brandon,Phillips,1997-11-12,CA,53463,Part-Time,57654
293,Larry,Lewis,1982-02-01,MA,68429,Full-Time,63515
294,Shirley,Wilson,1984-11-19,TX,48722,Retired,34715
295,Nicholas,Clark,1960-02-27,WA,78303,Part-Time,37733
296,Barbara,Anderson,1985-02-15,NC,12960,Unemployed,17268
297,Larry,Thompson,1996-02-22,PA,82339,Part-Time,76525
298,Betty,Parker,1990-07-15,GA,61849,Part-Time,67710
299,Sandra,Clark,1994-04-15,TX,46483,Retired,61006
300,Margaret,Collins,1959-10-04,WA,24936,Retired,38130
301,Jeffrey,Anderson,1986-09-21,WI,55603,Self-Employed,134858
302,Richard,Moore,1984-10-06,MN,51049,Self-Employed,188133
303,Stephanie,Turner,1974-02-06,MA,88174,Self-Employed,150833
304,Helen,Perez,1979-07-06,GA,74178,Unemployed,27463
305,Maria,Morales,1966-06-27,CO,27895,Unemployed,26945
306,Cynthia,Cruz,1979-09-17,VA,74054,Unemployed,20174
307,Paul,Morgan,1991-01-26,AZ,47836,Part-Time,33982
308,Samantha,Anderson,1984-10-24,NY,45112,Unemployed,24701
309,Emma,Ramirez,1978-09-27,MO,65725,Full-Time,130384
310,Susan,Cruz,1996-04-10,CO,25386,Full-Time,88994
311,Jacob,Perez,1970-04-26,WI,90760,Retired,85485
312,Emily,Morgan,1968-04-26,MD,32069,Full-Time,105047
313,Joseph,Moore,2000-05-10,MA,63948,Retired,45710
314,Dorothy,Gomez,1972-11-05,WA,74154,Part-Time,31153
315,Susan,Phillips,1995-05-21,FL,77582,Unemployed,19080
316,Susan,Collins,1999-06-15,TX,93209,Unemployed,17538
317,Sandra,Murphy,1977-02-26,TN,45197,Retired,58004
318,Amanda,Miller,1973-06-18,VA,16021,Retired,32815
319,Jacob,Sanchez,1984-01-04,TX,27290,Part-Time,43933
320,George,Hernandez,1974-03-28,CO,58738,Self-Employed,51457
321,Jacob,Lopez,1996-03-02,PA,22475,Unemployed,27144
322,Maria,Johnson,1985-02-05,MO,55032,Retired,41829
323,Susan,Wilson,1982-12-05,NV,23526,Unemployed,9280
324,David,Ortiz,1974-03-13,IL,83831,Part-Time,57293
325,Ryan,Cruz,1996-03-15,IL,38474,Self-Employed,155634
326,Kevin,Diaz,1961-03-25,NV,51222,Full-Time,107649
327,Samuel,Torres,1970-05-21,WI,13515,Full-Time,62105
328,Jeffrey,Nguyen,1997-05-07,OH,94694,Retired,77733
329,Jennifer,Ortiz,1970-08-13,WI,11581,Full-Time,61160
330,Matthew,Stewart,1975-03-13,MD,19567,Retired,60187
331,Jeffrey,Cook,1959-01-09,CA,47550,Part-Time,17156
332,Justin,Martin,1987-07-14,MD,46368,Unemployed,9654
333,Katherine,Rodriguez,1960-09-07,NV,50654,Part-Time,50277
334,Thomas,Collins,2001-04-02,TN,90254,Part-Time,20250
335,Maria,Lee,1974-11-24,IL,75065,Part-Time,22466
336,Kenneth,Thomas,1988-09-26,IL,13847,Self-Employed,63649
337,Jennifer,Murphy,1982-05-17,MN,69663,Full-Time,64077
338,George,Wilson,1958-08-28,GA,85223,Retired,36236
339,Dorothy,Garcia,1962-04-24,TX,71835,Retired,20742
340,Paul,Adams,1964-03-28,TN,42540,Full-Time,102752
341,Stephen,Miller,2001-06-09,NY,33507,Full-Time,105242
342,Michelle,Adams,1988-01-13,NC,21322,Full-Time,145990
343,Debra,Young,1955-06-07,NC,70807,Self-Employed,129366
344,Lisa,Smith,1986-04-24,PA,63744,Retired,92213
345,Jason,Flores,1989-06-21,TX,23624,Full-Time,155862
346,Emily,Lopez,1970-07-16,IL,15754,Full-Time,158739
347,Benjamin,Gonzalez,1988-07-23,FL,76247,Self-Employed,111920
348,Mark,Nguyen,1980-02-19,IL,44208,Retired,26373
349,Ashley,Martinez,1980-12-27,AZ,36569,Self-Employed,88670
350,Brian,Evans,1992-02-05,MO,25825,Full-Time,50927
351,Susan,Lee,1968-08-10,NY,99922,Unemployed,15533
352,Christopher,Lopez,2000-12-20,WA,42534,Full-Time,57683
353,Linda,Phillips,1980-09-02,GA,69270,Self-Employed,79083
354,Sarah,Johnson,1990-04-04,IL,18083,Unemployed,10281
355,Benjamin,King,1969-03-07,FL,19828,Unemployed,18986
356,Ronald,Thomas,1959-04-21,FL,15596,Unemployed,33059
357,Anna,Brown,1958-03-19,NV,60165,Unemployed,33458
358,Lisa,Jones,1966-06-07,MO,90492,Part-Time,32841
359,Shirley,Davis,1970-11-10,MD,21497,Unemployed,20266
360,Robert,Carter,1963-07-07,MD,57069,Retired,43994
361,Betty,Brown,1986-06-19,AZ,51795,Retired,50827
362,Ashley,Lee,1956-05-02,MN,23124,Unemployed,24047
363,Samantha,Roberts,1970-05-18,PA,56504,Full-Time,130924
364,Katherine,Brown,1966-03-08,CO,56095,Retired,50487
365,Emma,Flores,1991-03-19,VA,33010,Part-Time,70307
366,Shirley,Smith,1960-01-08,MA,53481,Retired,41133
367,Patricia,Williams,1967-03-11,WA,29360,Part-Time,75782
368,Deborah,Gomez,1964-02-28,FL,86810,Retired,101661
369,Jonathan,Green,1974-06-05,TN,32833,Part-Time,63347
370,Matthew,Carter,1990-12-20,MN,50215,Self-Employed,72968
371,Jeffrey,Jones,1973-03-06,MN,33865,Full-Time,155568
372,Christopher,Nelson,1994-04-21,VA,20198,Retired,30317
373,Amy,Johnson,1975-03-21,WA,44761,Full-Time,138609
374,William,Roberts,1999-02-12,TX,67438,Self-Employed,166330
375,Joseph,Morris,1965-07-16,NV,85766,Unemployed,18309
376,Donna,Williams,1998-04-06,CA,51774,Unemployed,9373
377,Jennifer,Lopez,1961-02-11,GA,54295,Part-Time,73725
378,Christine,Parker,1994-08-23,GA,30591,Full-Time,86538
379,Kimberly,Torres,1976-04-07,MD,48980,Unemployed,29449
380,William,Campbell,1958-07-19,IL,10500,Retired,99698
381,Linda,Clark,1973-11-21,NY,32391,Retired,65794
382,Eric,Morales,1960-08-28,NV,96643,Full-Time,70134
383,Deborah,White,1996-09-13,NV,68428,Part-Time,39247
384,Patricia,Martin,1983-08-09,MN,97486,Part-Time,70333
385,Ashley,Davis,1997-06-26,MN,60738,Retired,59538
386,Eric,Hill,1981-09-22,PA,20348,Unemployed,25441
387,Debra,Jackson,2000-01-17,MN,25765,Retired,105412
388,Barbara,Diaz,1983-03-06,IL,20271,Part-Time,68424
389,Brian,Rodriguez,1982-04-27,AZ,21406,Part-Time,70135
390,Debra,Gutierrez,1980-09-11,TX,64997,Self-Employed,122060
391,Jessica,Gonzalez,1964-03-19,NY,47498,Retired,75446
392,Christine,Stewart,1977-07-09,MN,14910,Unemployed,28084
393,Michael,Gomez,1980-03-20,NV,53449,Retired,84700
394,Amanda,Hill,1958-12-16,TX,50756,Self-Employed,184548
395,Karen,Hill,1986-12-22,PA,68079,Full-Time,158731
396,Anthony,Cruz,1975-05-24,FL,37707,Unemployed,26480
397,Brenda,Lee,1981-12-16,CA,18600,Retired,102275
398,Matthew,Harris,1987-07-05,TX,36309,Retired,103421
399,Emily,Mitchell,1970-01-15,OH,70846,Full-Time,151465
400,Samuel,Edwards,1995-02-22,VA,33276,Full-Time,61274
401,Susan,Torres,1985-10-18,AZ,13597,Self-Employed,93007
402,Donald,Wright,1965-10-25,PA,95404,Part-Time,71669
403,Samuel,Johnson,1956-11-01,GA,39329,Unemployed,36350
404,Kevin,Collins,1974-12-23,NV,43029,Self-Employed,106182
405,James,Rogers,1974-11-17,NY,96816,Retired,57951
406,Jessica,Morris,1978-09-21,NC,18367,Retired,77933
407,Anthony,Martin,1972-11-11,NC,77802,Self-Employed,79245
408,Anna,Nguyen,1958-10-13,TX,44003,Self-Employed,148733
409,Anthony,Baker,1980-07-24,MN,39145,Full-Time,106775
410,Helen,White,1995-08-22,GA,48506,Self-Employed,120011
411,Ronald,Lopez,1963-12-09,GA,39131,Retired,92443
412,Donna,Reyes,2002-05-14,MN,25437,Self-Employed,97550
413,Stephen,Thomas,1995-10-19,OH,99220,Retired,27215
414,Amanda,Evans,1974-07-02,OH,84632,Part-Time,23662
415,Ronald,Thompson,1984-03-11,VA,51079,Part-Time,66455
416,Samantha,Lee,1955-08-09,GA,74169,Part-Time,65271
417,Jacob,Morris,1960-03-20,NV,60242,Unemployed,27398
418,Pamela,Harris,1989-04-24,WA,12348,Self-Employed,193331
419,Michelle,Taylor,1995-12-08,CO,23462,Part-Time,60758
420,Donna,Collins,1992-05-06,NC,78195,Full-Time,138900
421,Melissa,Harris,1976-07-22,VA,31611,Part-Time,37360
422,Sandra,Williams,1980-01-08,IL,87292,Part-Time,63002
